Grupo1 242.0,0,0,0,0,0,1,0,0,1,0,0,0.02127660,0,0,0,0,0,0,0,1,0,0.005564388,0.001165501,0.01156069,0.03225806,1,0,1,1,0,0.01428571,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0.02830189,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.5,0,1,1,1,0.09090909,0.05970149,1,1,1,0,1,0,0,0.006711409,0,0,
Grupo1 244.0,0,0,0,0,0,1,0,0,1,0,0,0.06382979,0,0,0,0,0,1,0,1,0,0.01192369,0.001165501,0.02697495,0.03225806,0,0,1,1,0,0.02857143,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.01886792,1,0,1,0,1,0,0,0,0,0,0.1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.5,0,1,1,1,0.1590909,0.1044776,1,1,0,0,1,0,0,0.01342282,0,0.02439024,
Grupo1 397.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.003179650,0.002331002,0.005780347,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0135,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.5,0,1,0,1,0.1212121,0.07960199,1,1,0,1,1,0,0,0,0,0,
Grupo1 398.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.006359300,0.002331002,0.01156069,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.008,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0.08333333,0.05472637,1,1,0,0,1,0,0,0,0,0,
Grupo1 400.0,0,0,0,0,0,1,0,0,0,0,0,0.04255319,0,0,0,0,1,1,0,1,0,0.005564388,0.004662005,0.005780347,0.09677419,0,0.01,1,0,0,0.05714286,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0115,0.04716981,1,0,1,0,1,0,1,0,0,0,0.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.015625,1,0,1,0.07575758,0.03980100,1,0,0,0,1,0,0,0.02013423,0,0,
Grupo1 739.0,0,0,0,0,0,1,0,0,0,0,0,0.02127660,0,0,0,0,1,0,0,0,0,0.0007949126,0.001165501,0,0.03225806,0,0,1,0,0,0.01428571,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0075,0.009433962,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.5,0,1,0,1,0.03030303,0.01990050,1,1,0,0,0,0,0,0.006711409,0,0.02439024,
Grupo1 928.0,0,0,0,0,0,1,0,0,1,0,0,0.08510638,0,0,0,0,1,1,0,1,0,0.003179650,0.002331002,0.003853565,0.06451613,1,0.01,1,1,1,0.02857143,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.012,0.01886792,1,0,0,1,1,0,0,0,0,0,0.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.015625,1,1,1,0.06060606,0.03980100,1,1,0,0,1,0,0,0.01342282,0,0.02439024,
Grupo1 935.0,0,0,0,0,0,1,0,0,1,0,0,0.02127660,0,0,0,0,0,1,0,0,0,0.0007949126,0.001165501,0,0.06451613,1,0.01,1,0,0,0.01428571,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0095,0.009433962,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.015625,1,0,1,0.06060606,0.05970149,1,0,0,0,0,0,0,0.01342282,0,0.02439024,
Grupo1 936.0,0,0,0,0,0,1,0,0,1,0,0,0.2340426,0,0,0,0,1,1,0,0,0,0.006359300,0.006993007,0.003853565,0.06451613,1,0.01,1,0,1,0.02857143,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0275,0.06603774,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0.5,0.015625,1,1,1,0.1136364,0.07462687,1,1,0,0,1,0,0,0.01342282,0,0.02439024,
Grupo1 961.0,0,0,0,0,0,1,0,0,0,0,1,0.1276596,0,0,0,0,1,0,0,1,0,0.01828299,0.005827506,0.02890173,0.09677419,0,0.05,1,1,0,0.04285714,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.028,0.04716981,1,1,1,0,1,0,0,0,0,0,0.1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0.5,0.015625,1,0,1,0.1439394,0.09452736,1,0,0,1,1,0,0,0.02013423,0,0.02439024,
